GCCSA_CODE_2016,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_FYROM_E,M_FYROM_OM_IE,M_FYROM_OM_UIE,M_FYROM_CFW,M_FYROM_ES_NS,M_FYROM_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Malta_E,M_Malta_OM_IE,M_Malta_OM_UIE,M_Malta_CFW,M_Malta_ES_NS,M_Malta_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_Turkey_E,M_Turkey_OM_IE,M_Turkey_OM_UIE,M_Turkey_CFW,M_Turkey_ES_NS,M_Turkey_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE
9OTER,796,30,85,12,16,942,4,0,0,0,0,3,10,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,7,0,0,0,0,13,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,3,3,6,6,160,0,0,0,0,0,0,0,0,0,0,0,3,71,10,33,4,3,119,3,0,0,0,0,3,17,0,0,0,0,17,4,0,0,0,0,4,24,0,0,0,0,31,13,4,0,0,0,15,0,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,62,3,8,4,0,73,5,0,0,0,0,5,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,42,0,5,0,0,51,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0
8ACTE,69164,4600,3094,380,405,77644,341,25,14,8,0,386,1808,164,83,36,7,2098,136,38,22,7,4,206,124,9,4,3,0,141,285,12,9,0,3,318,164,31,9,8,0,209,419,38,34,7,3,494,111,21,12,5,3,161,432,52,21,4,0,502,3833,249,115,25,26,4246,267,6,8,0,0,283,231,34,15,3,3,283,98,15,13,0,0,127,223,28,16,0,3,264,295,66,48,11,4,418,91,7,6,0,3,108,520,78,41,9,5,650,78,14,24,3,3,116,644,38,29,6,6,724,52,8,3,0,0,66,178,18,12,4,0,220,1590,90,78,15,10,1784,719,45,36,0,4,805,1014,23,14,9,5,1062,187,25,28,0,0,234,253,12,15,0,0,279,650,53,27,0,4,736,905,29,21,3,3,958,246,14,11,3,0,272,71,11,10,0,4,91,4401,293,224,24,23,4963,743,44,27,6,3,822,820,54
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,2416,547,928,27,37,3945,3,0,3,0,0,13,17,8,13,0,0,39,10,9,20,0,3,46,3,0,0,0,0,5,10,0,0,0,0,10,4,0,0,0,0,7,7,5,7,0,0,14,0,0,6,0,0,6,3,0,5,0,0,15,50,10,14,0,3,83,6,0,0,0,0,7,9,3,3,0,0,11,3,0,4,0,0,12,15,6,0,0,0,25,17,8,15,0,0,32,0,0,0,0,0,0,35,13,0,0,0,50,5,3,5,0,0,16,7,0,8,0,0,19,0,0,0,0,0,3,4,0,4,0,0,6,56,10,26,0,0,94,15,3,8,0,0,25,8,5,0,0,0,10,5,0,3,0,0,10,3,0,0,0,0,8,13,0,0,0,0,20,17,3,4,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,98,21,50,0,0,166,20,0,0,0,0,24,12,8
7RNTE,12335,662,497,103,144,13742,42,5,0,0,0,41,45,3,0,0,0,50,0,0,0,0,0,3,8,0,0,0,0,5,89,0,0,0,0,89,3,0,0,0,0,3,58,5,6,3,0,72,21,0,0,3,0,25,27,0,0,0,0,25,349,8,14,0,3,377,24,0,0,0,0,27,11,0,0,0,0,11,8,0,3,0,0,11,57,3,3,0,0,61,36,5,10,3,4,47,17,0,0,0,0,18,37,3,0,0,0,47,0,0,0,0,0,0,30,0,0,0,0,33,3,0,0,0,0,3,42,4,0,0,0,43,673,25,31,5,9,736,23,0,0,0,0,23,257,6,3,0,0,270,5,0,0,0,0,10,19,0,0,0,0,23,112,3,9,0,0,128,56,0,0,0,0,59,17,0,0,0,0,18,4,0,0,0,0,4,584,41,41,4,3,672,302,3,5,0,0,312,29,10
7GDAR,23481,1486,1118,152,246,26493,73,6,3,0,3,86,258,19,16,9,6,306,15,0,4,0,0,15,6,3,0,0,0,11,76,3,0,0,0,83,9,0,0,0,0,8,132,10,17,3,0,163,173,63,45,10,9,306,68,3,3,0,0,82,1055,39,40,8,7,1151,178,3,12,5,3,206,61,0,0,0,0,63,8,0,0,0,0,9,433,15,13,4,5,466,89,12,6,6,0,120,155,4,0,0,0,161,118,5,7,0,0,131,21,3,3,0,0,30,180,10,16,0,3,209,11,0,0,0,0,11,81,4,9,0,0,96,1201,67,57,8,9,1343,123,11,13,0,3,145,1446,15,10,8,17,1496,26,3,4,0,0,35,70,5,5,0,0,83,319,10,14,0,0,336,218,17,10,0,0,250,103,0,8,4,0,113,12,3,3,0,0,24,1850,119,94,6,14,2087,140,3,4,0,0,150,133,21
79799,44,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0
79499,1391,206,402,24,29,2055,0,0,0,0,0,0,7,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,4,0,8,0,0,9,42,9,18,0,6,70,0,0,3,0,0,4,19,4,11,0,0,37,7,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,4,5,0,0,30,8,0,3,0,0,12,0,0,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,10,0,0,0,0,13,104,7,17,0,4,137,3,0,3,0,0,8,26,0,4,0,0,32,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,15,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,108,16,36,4,0,162,3,0,0,0,0,9,12,0
