GCCSA_CODE_2016,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000mo_A_15_19,ClAW_3000mo_A_20_24,ClAW_3000mo_A_25_34,ClAW_3000mo_A_35_44,ClAW_3000mo_A_45_54,ClAW_3000mo_A_55_64,ClAW_3000mo_A_65_74,ClAW_3000mo_A_75ov,ClAW_3000mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov
9OTER,0,0,4,0,0,3,0,0,3,0,0,13,0,0,3,3,3,0,0,0,11,0,0,5,7,4,6,0,0,28,0,0,8,10,12,8,0,0,42,3,5,3,12,10,10,3,0,46,0,3,3,4,9,8,3,0,38,0,0,4,3,15,12,3,0,36,0,0,3,8,7,4,0,0,29,0,0,4,3,10,0,0,0,15,0,0,5,7,9,4,0,0,17,0,0,0,0,3,4,0,0,5,0,0,0,3,0,0,0,0,3,4,14,45,66,86,63,11,3,291,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,6,0,0,0,0,5,3,3,3,14,0,0,5,0,3,4,7,0,21,3,0,4,5,6,10,4,0,30,0,0,3,5,4,3,7,0,20,0,0,0,3,3,9,3,0,17,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,26,0,663,54,197,117,124,97,101,45,15,746,50,239,168,164,136,119,66,3,942,81,316,335,318,268,239,79,17,1651,98,451,621,489,436,327,107,14,2550,99,683,1126,775,774,479,145,15,4094,49,851,2092,1338,1417,825,143,11,6729,12,454,2268,1658,1642,1028,151,5,7228,0,83,1446,1598,1695,948,138,4,5916,0,22,560,827,815,465,80,3,2775,4,17,564,1320,1564,789,111,9,4371,0,3,69,269,433,274,47,7,1100,9,31,83,72,72,47,12,0,330,690,3649,9590,9110,9478,5747,1157,109,39535,58,17,12,5,11,8,5,0,118,2205,240,43,26,20,20,4,0,2552,874,560,141,57,53,39,18,3,1751,286,538,209,93,72,58,25,4,1286,180,466,238,128,110,94,36,0,1255,163,530,373,190,161,137,57,10,1625,76,391,466,252,212,180,56,7,1645,36,352,404,282,231,173,56,9,1548,4,130,301,199,199,133,43,6
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,18,0,0,7,0,3,0,0,0,16,0,0,4,0,0,0,0,0,7,3,4,3,3,7,0,6,0,25,0,4,3,3,0,3,0,0,19,3,3,6,3,5,5,0,0,31,0,0,13,9,11,3,3,0,35,0,0,9,7,5,8,3,0,32,0,0,13,3,3,4,0,0,27,0,0,3,3,3,3,0,0,12,0,0,4,4,10,3,0,0,21,0,0,0,3,5,5,0,0,17,0,0,0,0,3,0,0,0,8,14,31,68,57,69,38,15,3,294,0,0,0,0,0,0,0,0,3,9,3,0,0,5,0,0,0,17,4,11,3,0,0,0,0,0,22,3,3,4,4,0,3,0,0,26,4,9,4,0,4,4,0,0,24,0,6,3,7,10,12,0,0,34,0,6,3,6,7,3,0,0,30,0,4,4,6,3,7,5,0,27,0,0,9,6,14,4,0,0
7RNTE,5,0,88,8,10,21,19,14,17,12,4,96,11,9,23,26,15,27,10,0,115,6,24,79,52,45,47,14,0,265,23,53,92,64,64,46,17,4,356,22,81,171,111,135,67,14,0,595,11,84,210,179,216,141,36,0,875,0,12,125,119,139,104,14,0,524,3,8,70,89,98,74,14,0,348,0,5,31,37,39,54,10,0,170,0,0,19,51,67,42,8,0,185,0,3,6,12,28,12,0,0,63,8,6,15,13,13,5,7,0,64,105,302,891,808,889,658,149,13,3809,8,0,3,0,0,0,0,0,14,180,7,13,8,0,0,0,0,210,67,14,39,34,19,8,3,0,177,29,14,29,19,18,10,4,0,126,17,17,25,23,9,22,3,0,117,20,22,47,32,35,27,14,0,210,17,57,75,37,43,33,6,0,276,6,49,87,42,59,36,5,0,281,3,22,37,33,29,33,5,0
7GDAR,11,3,157,19,20,50,27,24,13,11,0,157,23,28,50,56,28,35,15,0,240,33,60,113,102,71,74,26,3,479,43,133,205,181,130,89,40,4,830,50,246,407,307,243,153,48,3,1459,29,261,708,508,523,314,69,3,2414,0,101,461,393,405,266,52,3,1694,3,42,274,323,302,198,28,0,1170,0,15,115,163,202,123,20,0,630,0,10,133,210,205,149,20,0,729,0,0,38,74,87,57,14,0,267,8,15,26,22,26,15,4,0,116,293,962,2612,2407,2279,1522,366,20,10465,31,3,9,10,12,5,0,0,63,527,29,14,11,4,10,4,0,599,235,64,37,19,19,18,6,0,404,96,91,60,44,33,20,12,0,354,56,101,97,50,43,31,7,0,386,65,109,133,91,71,46,10,4,532,38,167,190,112,122,73,19,0,711,26,124,212,129,138,65,21,0,711,3,60,150,106,83,69,19,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,10,0,0,0,0,0,3,0,0,4,0,0,0,3,3,0,0,0,10,0,0,0,3,0,7,0,0,11,0,0,0,0,3,0,0,0,7,0,3,6,3,0,5,0,0,25,0,0,9,6,6,6,3,0,37,0,0,3,5,3,8,0,0,17,0,4,3,5,6,0,0,0,13,0,0,5,3,5,0,0,0,11,0,0,3,0,7,3,0,0,20,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,15,34,37,42,40,7,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,0,0,0,5,0,0,0,0,13,0,4,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,9,0,0,6,3,0,0,3,0,7,0,3,0,3,0,4,0,0,12,0,0,4,3,4,3,0,0,9,0,0,3,3,4,3,0,0
