GCCSA_CODE_2016,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_Inc_LR_15_24,M_M1_Tram_Inc_LR_25_34,M_M1_Tram_Inc_LR_35_44,M_M1_Tram_Inc_LR_45_54,M_M1_Tram_Inc_LR_55_64,M_M1_Tram_Inc_LR_65_74,M_M1_Tram_Inc_LR_75ov,M_M1_Tram_Inc_LR_Tot,M_M1_Taxi_15_24,M_M1_Taxi_25_34,M_M1_Taxi_35_44,M_M1_Taxi_45_54,M_M1_Taxi_55_64,M_M1_Taxi_65_74,M_M1_Taxi_75ov,M_M1_Taxi_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_Inc_LR_15_24,M_M2_TrnTrm_Inc_LR_25_34,M_M2_TrnTrm_Inc_LR_35_44,M_M2_TrnTrm_Inc_LR_45_54,M_M2_TrnTrm_Inc_LR_55_64,M_M2_TrnTrm_Inc_LR_65_74,M_M2_TrnTrm_Inc_LR_75ov,M_M2_TrnTrm_Inc_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_Inc_LR_15_24,M_M2_BusTrm_Inc_LR_25_34,M_M2_BusTrm_Inc_LR_35_44,M_M2_BusTrm_Inc_LR_45_54,M_M2_BusTrm_Inc_LR_55_64,M_M2_BusTrm_Inc_LR_65_74,M_M2_BusTrm_Inc_LR_75ov,M_M2_BusTrm_Inc_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
9OTER,0,0,0,0,0,0,0,7,3,9,4,9,6,0,0,41,3,4,8,3,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,126,181,199,185,86,11,846,6,20,10,14,3,0,0,63,0,3,12,19,20,6,0,61,9,5,12,6,3,4,0,41,0,4,3,4,3,0,0,18,7,14,9,14,10,3,0,58,21,38,16,18,15,3,3,122,119,224,263,299,252,105,14,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,10,0,0,3,0,0,0,0,4,0,11,13,10,3,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5,26,24,21,10,3,0,90,959,1814,1437,1080,697,121,10,6116,0,10,6,8,3,0,0,27,3,4,5,3,3,0,0,20,16,57,49,51,18,3,0,200,8237,17968,18543,16551,9599,2143,176,73216,1485,1116,751,595,353,79,8,4388,35,131,153,188,135,88,7,735,185,457,483,556,251,18,3,1960,376,935,1084,953,441,48,3,3833,154,155,143,131,87,40,9,722,1393,1706,830,614,454,89,13,5098,12846,24370,23516,20758,12050,2633,227,96400,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,9,13,6,0,0,54,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,5,7,17,12,24,11,0,0,76,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,53,107,129,84,60,15,3,439,98,58,55,38,15,0,0,265,25,57,32,31,14,3,0,156
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,0,0,0,0,3,17,10,9,5,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,0,26,627,1067,852,681,475,107,14,3819,78,58,33,27,12,4,0,211,12,48,74,75,61,25,0,286,3,5,5,3,3,3,0,26,3,9,7,4,4,0,0,31,4,15,14,28,14,0,0,84,19,20,19,14,6,4,0,78,764,1250,1018,834,584,144,14,4609,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
7RNTE,0,3,0,3,0,0,0,6,41,227,226,215,120,29,0,860,3,0,0,3,0,0,0,18,0,0,0,0,0,0,0,3,4,15,12,12,9,0,0,49,810,1986,1860,1958,1530,397,29,8568,339,361,255,201,128,29,0,1313,15,44,30,39,34,13,0,175,31,62,48,65,45,4,0,253,96,187,130,117,83,16,0,632,88,181,159,145,96,18,4,696,474,794,575,545,448,115,16,2964,1907,3855,3305,3304,2486,621,56,15534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,5,0,0,26,4,3,3,0,0,0,0,17,0,23,8,10,3,0,0,46
7GDAR,0,4,3,4,0,0,0,12,299,1277,1128,972,547,76,6,4304,0,0,8,3,4,0,0,21,0,0,0,0,0,0,0,3,15,27,19,11,10,3,0,89,2841,6301,5775,4992,3263,756,68,23990,618,569,333,267,151,32,6,1981,7,59,69,83,50,10,0,291,121,219,171,200,141,13,0,865,117,275,213,203,119,13,0,938,52,140,116,112,51,16,0,499,379,472,214,225,160,50,4,1506,4452,9347,8049,7083,4509,975,82,34498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,6,0,0,16,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,31,323,210,118,49,5,3,743,16,31,20,9,7,0,0,82,9,55,39,26,10,0,0,126
79799,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,15,5,0,0,54,0,0,0,0,3,0,0,3,4,16,12,17,15,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,16,144,96,49,30,0,0,337,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,165,382,344,304,190,47,3,1437,46,57,39,36,7,3,0,188,0,16,34,33,28,9,0,117,3,5,3,4,3,0,0,17,0,7,0,0,3,0,0,12,9,39,17,31,22,4,0,116,9,22,12,18,15,0,0,76,244,665,549,485,299,69,10,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,11,8,3,0,0,58,0,0,3,3,0,0,0,5,0,8,0,4,0,0,0,12
