GCCSA_CODE_2016,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_Inad_des_M,Inad_des_Inad_des_F,Inad_des_Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
9OTER,13,7,8,12,28,14,40,0,0,0,89,34,123,0,4,3,0,0,0,0,0,3,3,0,3,0,0,0,3,0,8,3,0,3,0,5,5,14,9,24,0,0,0,0,16,18,0,4,4,3,0,6,5,25,23,0,0,0,8,6,15,5,9,13,15,10,26,0,0,0,31,25,56,10,0,9,46,30,69,0,0,0,18,44,63,43,43,83,61,89,146,5,4,3,140,93,232,157,55,211,156,76,228,455,226,680,0,7,7,39,126,160,6,3,12,5,12,12,46,141,186,0,0,0,9,29,34,10,38,50,0,14,16,5,32,34,30,106,134,0,0,0,42,21,62,0,4,5,4,6,12,0,0,0,49,34,82,0,0,0,31,3,38,5,24,25,0,0,0,43,23,64,70,32,102,17,24,37,1545,1145,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,10,4,10,0,0,0,4,0,4,0,3,5,3,3,9,0,0,0,0,0,3,0,0,0,3,0,3,5,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,7,13,0,3,3,83,32,118
8ACTE,48,755,268,1024,729,389,1120,128,62,188,3760,1220,4979,34,22,59,235,206,438,168,150,320,377,243,619,6,6,11,902,319,1227,375,118,492,295,547,834,2388,1614,3999,38,34,75,509,706,1218,446,646,1089,597,490,1085,1590,1877,3464,0,3,3,243,131,379,1119,1390,2516,1367,1527,2899,76,46,126,7148,7263,14416,5192,1468,6659,12420,8780,21195,4,7,13,996,1410,2408,1537,1159,2697,2539,2582,5120,131,170,297,23355,29191,52542,8208,4261,12469,4016,2272,6287,35709,35892,71598,154,258,410,2519,8007,10522,3842,4304,8151,667,1227,1890,7178,13796,20974,64,209,273,1781,5564,7346,1638,4742,6385,656,2019,2674,1337,4807,6144,5478,17352,22831,30,30,62,559,814,1370,209,249,457,844,812,1663,173,84,259,1822,1996,3813,7,0,3,1682,276,1961,1420,3081,4499,0,43,47,3104,3401,6508,2319,1431,3750,1059,851,1908,109850,110801,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,28,3,34,38,3,35,0,0,0,253,24,275,3,0,3,3,7,10,3,0,8,6,5,13,0,0,0,36,6,44,6,0,5,3,16,17,63,33,102,0,0,0,10,3,11,3,0,7,12,3,12,22,10,33,0,0,0,9,7,9,17,6,32,25,13,40,8,4,8,136,106,241,133,30,161,275,133,408,0,0,0,41,57,101,297,224,516,339,280,619,0,3,3,93,69,155,60,19,77,103,18,128,257,106,368,3,15,14,40,93,140,21,20,39,90,83,173,161,211,373,0,9,12,5,24,25,47,74,116,17,86,104,68,192,263,137,382,518,3,4,5,4,0,3,22,11,31,38,21,58,0,0,0,67,38,109,0,0,0,80,0,82,61,71,132,0,9,9,145,81,226,159,60,219,45,37,83,5137,1683,6819
7RNTE,109,31,54,91,123,39,159,12,9,20,848,279,1130,3,5,7,8,12,25,26,15,39,57,36,94,0,0,0,34,7,35,5,0,9,5,13,18,141,87,225,0,0,0,32,101,134,11,14,20,8,13,18,49,125,166,0,3,3,52,25,78,73,134,205,125,162,287,0,0,0,480,472,949,58,15,78,542,487,1030,0,0,0,279,329,610,183,180,359,465,511,977,12,17,35,1605,1898,3501,742,168,910,690,263,956,3051,2354,5407,55,95,148,851,2230,3081,180,284,465,94,186,284,1185,2792,3980,97,207,300,348,961,1307,492,965,1459,102,283,388,423,940,1368,1462,3365,4822,6,9,11,145,140,286,87,121,211,68,64,135,38,36,69,344,368,716,0,0,0,360,71,436,727,635,1361,3,4,5,1087,715,1803,592,327,921,349,316,661,18194,15663,33860
7GDAR,115,166,103,273,490,149,646,99,25,131,2567,829,3389,12,9,23,61,59,119,38,33,70,102,97,198,0,0,3,164,57,217,34,17,52,11,59,70,426,332,749,3,6,11,156,305,460,68,205,268,99,127,228,327,646,972,9,8,12,206,102,305,313,581,892,522,686,1210,12,4,14,2966,1766,4731,405,128,539,3377,1902,5283,0,6,6,392,605,1000,461,508,971,861,1118,1972,23,40,60,2392,4530,6921,3287,685,3971,1594,809,2404,7298,6061,13363,48,131,185,782,3063,3845,482,768,1251,117,245,364,1432,4213,5638,42,165,209,553,1668,2223,537,1429,1965,108,427,539,335,1497,1838,1579,5190,6768,19,25,37,100,122,226,55,70,126,246,280,518,313,258,569,730,760,1484,3,0,7,1015,190,1203,313,832,1140,0,3,3,1330,1025,2352,1641,678,2321,524,385,912,39765,32357,72120
79799,3,0,0,0,10,0,10,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,13,0,15,4,0,4,85,8,91
79499,22,3,3,9,31,5,31,0,0,0,157,22,184,0,3,3,3,0,4,8,3,10,0,3,4,0,0,0,25,0,26,0,0,0,0,0,0,40,8,43,0,0,0,12,7,16,0,0,0,4,3,8,15,6,20,0,0,0,12,0,10,10,4,14,20,9,24,0,0,0,186,65,253,13,3,11,203,66,263,0,0,0,47,33,76,105,128,229,152,156,308,5,3,6,36,32,64,43,7,56,53,17,67,140,54,196,3,3,6,13,48,60,0,3,6,14,15,28,29,68,98,0,9,12,0,14,14,13,41,53,4,11,13,18,51,71,37,122,156,0,0,0,3,3,4,18,15,34,16,4,21,4,0,5,37,28,65,0,0,0,61,0,56,22,31,57,0,0,0,76,34,111,132,53,184,38,26,68,2830,849,3679
6RTAS,126,401,325,721,495,96,588,178,45,229,3900,1154,5053,6,3,11,123,135,258,45,51,95,71,64,134,4,0,4,226,84,307,22,7,30,15,81,97,513,421,938,4,8,15,361,828,1185,101,200,298,186,247,432,653,1279,1927,4,5,10,210,132,345,339,618,952,551,757,1306,5,6,16,1588,1855,3449,310,78,387,1908,1940,3849,0,5,4,637,880,1519,578,741,1325,1219,1632,2843,7,8,13,1764,2620,4382,28,16,49,789,348,1138,2583,3002,5583,62,120,184,1748,5660,7405,650,915,1565,147,289,434,2605,6985,9592,37,191,231,755,2982,3735,898,2840,3735,468,3044,3505,683,2630,3319,2844,11686,14531,23,17,38,241,209,448,109,119,229,336,314,650,123,161,282,825,825,1651,3,0,3,1549,260,1806,560,1605,2165,0,5,8,2119,1868,3983,1846,903,2749,606,514,1114,54161,52656,106812
6GHOB,95,405,176,580,404,82,482,100,44,144,2628,855,3480,12,5,18,152,133,289,89,107,189,110,117,230,3,5,10,569,342,912,55,20,74,32,114,149,1021,840,1865,16,14,27,440,613,1052,255,448,705,366,410,780,1073,1491,2563,0,4,4,211,111,327,418,574,984,627,685,1315,26,22,46,2707,2399,5109,706,131,837,3434,2549,5986,3,4,6,624,784,1406,528,645,1181,1161,1435,2590,19,11,31,3566,5101,8663,141,67,209,1374,762,2138,5110,5940,11049,68,106,177,1672,4791,6463,1284,1621,2899,242,398,643,3260,6918,10183,52,180,235,948,3192,4135,1056,3194,4249,493,2393,2887,761,2905,3673,3315,11861,15176,24,22,40,268,234,495,204,204,405,404,381,788,291,236,527,1185,1072,2261,0,3,4,1167,173,1348,747,1714,2458,0,3,3,1920,1896,3818,1352,726,2076,443,391,837,48574,50786,99359
69799,0,0,0,0,3,0,3,0,0,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,55
69499,13,49,11,58,50,3,53,0,0,0,462,49,515,3,0,3,5,0,6,11,0,11,5,0,5,0,0,0,68,6,75,6,0,6,0,0,0,104,4,111,0,0,0,5,11,13,5,0,6,0,4,6,11,18,31,0,0,0,12,7,20,10,12,23,26,15,45,0,0,3,131,131,267,27,3,31,168,136,303,0,0,0,66,40,104,399,442,844,471,478,949,3,3,3,42,58,98,11,3,13,95,16,111,146,77,225,7,7,16,39,101,138,16,8,24,34,34,65,96,153,246,0,19,25,9,12,22,45,121,167,22,226,248,80,386,468,160,768,924,3,3,7,3,4,4,26,12,41,41,10,55,3,4,7,77,31,109,0,0,0,131,6,135,65,82,148,0,5,5,196,91,285,264,91,355,101,65,170,6784,2349,9138
5RWAU,287,538,638,1178,1180,362,1547,428,110,539,8684,2779,11464,17,14,23,93,162,251,90,112,202,103,107,213,3,0,3,259,94,353,38,13,54,9,125,136,610,624,1236,19,17,33,499,1157,1656,109,228,335,272,380,649,899,1780,2678,7,8,16,801,341,1146,677,1517,2190,1482,1866,3351,18,13,30,4547,3458,8006,371,101,476,4940,3574,8513,9,4,16,1535,1908,3448,1630,2016,3647,3175,3933,7109,31,39,74,3980,4970,8956,156,29,183,2770,1302,4069,6934,6349,13280,106,257,365,3140,12912,16049,609,1141,1747,408,816,1227,4266,15125,19393,117,634,756,1159,5596,6754,1465,4783,6250,412,3257,3666,856,4104,4954,4005,18375,22378,13,15,28,545,401,950,127,206,337,448,677,1127,35,65,97,1180,1361,2541,3,3,10,4150,864,5011,1077,2845,3922,3,17,24,5228,3729,8959,5583,2533,8112,1495,1160,2652,153587,106527,260110
5GPER,594,3928,1844,5775,4281,1452,5741,2251,792,3043,29136,9700,38833,150,114,266,877,981,1857,765,653,1421,597,457,1051,65,53,117,2456,848,3303,884,296,1182,129,330,453,5924,3731,9653,225,273,500,4510,6138,10646,1960,3185,5148,4342,3670,8014,11037,13272,24307,36,43,82,2218,1060,3277,5292,7830,13124,7551,8924,16482,204,123,325,28368,25275,53645,7866,2331,10195,36433,27733,64163,10,44,57,5628,7713,13338,6476,5888,12364,12120,13637,25751,115,135,255,15235,20574,35807,3254,889,4140,11741,5849,17588,30347,27444,57791,546,1122,1675,11045,42091,53133,7678,10832,18517,2353,4279,6634,21627,58327,79953,382,1639,2020,7701,28289,35989,7588,24691,32283,3093,15888,18981,3699,17181,20880,22466,87702,110161,106,110,217,866,954,1817,958,1142,2100,3590,3770,7357,2135,1749,3883,7657,7721,15378,22,10,31,12361,2508,14865,5433,14103,19532,4,162,173,17816,16782,34600,20510,10780,31291,4691,3603,8290,431724,418438,850156
59799,9,0,0,0,14,4,15,0,0,0,207,16,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,44,0,44,0,0,0,46,0,46,0,0,0,37,3,37,0,4,8,37,5,47,0,0,0,3,0,3,12,0,12,0,0,0,19,0,17,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,0,9,0,9,206,7,218,12,7,14,1495,99,1595
