SA2_MAINCODE_2016,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_2016,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_2016,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_2016,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_2016,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_2016,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_2016,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_2016,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_2016,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_2016,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_2016,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_2016,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_2016,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_2016,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_2016,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_2016,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_2016,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_2016,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_2016,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_2016,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_2016,SEO_IDNS_NS,SEO_IDNS_Tot,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_2016,SEO_Tot_NS,SEO_Tot_Tot,SOLSEWVW_AGFF_Bf_91,SOLSEWVW_AGFF_91_95,SOLSEWVW_AGFF_96_00,SOLSEWVW_AGFF_01_05,SOLSEWVW_AGFF_06_10,SOLSEWVW_AGFF_11_15,SOLSEWVW_AGFF_2016,SOLSEWVW_AGFF_NS,SOLSEWVW_AGFF_Tot,SOLSEWVW_Min_Bf_91,SOLSEWVW_Min_91_95
101021007,13,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,9,76,5,3,3,3,13,0,4,111,0,0,0,0,0,0,0,0,4,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,6,3,7,0,3,62,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,11,3,0,0,0,0,0,0,0,6,9,0,4,3,7,3,0,0,28,4,0,0,0,0,0,0,0,8,12,3,9,7,3,3,0,3,34,5,0,3,3,4,6,0,0,24,7,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,9,13,0,0,0,0,3,0,0,26,3,0,0,0,6,0,0,0,12,44,5,9,8,4,3,0,6,83,17,0,0,0,0,0,0,3,23,63,6,7,9,11,6,0,6,111,3,0,0,0,0,0,0,0,9,9,0,0,3,4,0,0,0,22,11,3,3,0,0,0,0,0,23,233,29,37,39,43,34,3,23,442,0,0,0,0,0,0,0,0,0,0,0
101021010,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,5,0,3,9,0,0,38,3,0,0,0,0,0,0,0,7,24,0,4,4,8,8,0,3,46,7,0,0,0,0,0,0,0,9,11,0,0,0,0,3,0,0,13,5,0,0,0,3,3,0,0,14,16,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,4,0,0,0,3,0,0,0,11,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,12,123,9,16,12,29,21,0,8,223,0,0,0,0,0,0,0,0,0,0,0
101021011,28,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,3,24,0,0,3,6,3,0,3,42,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,24,8,0,3,0,3,3,0,0,18,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21,0,3,3,0,0,0,3,35,11,3,0,0,0,0,0,0,16,47,3,3,11,9,10,0,0,84,9,0,0,0,0,3,0,0,18,7,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,11,4,0,0,3,0,0,0,0,15,9,0,3,0,0,0,0,0,8,204,15,25,27,29,28,3,12,336,3,4,0,0,0,0,0,0,9,0,0
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,12,3,0,0,0,0,0,0,0,7,25,5,4,6,4,8,0,4,51,0,0,0,0,0,0,0,0,3,5,0,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,18,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7,0,0,0,5,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9,0,0,0,0,4,0,0,13,10,3,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,12,0,3,0,0,3,0,0,13,96,5,14,11,21,25,0,6,192,0,0,0,0,0,0,0,0,0,0,0
101031013,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,8,12,4,0,3,6,0,0,0,23,8,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,4,28,6,0,5,0,0,0,0,33,14,3,4,0,0,0,0,0,21,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,7,26,0,3,0,0,0,0,0,32,28,0,0,0,0,0,0,0,32,32,3,4,7,5,3,0,0,56,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,14,3,0,0,0,3,0,0,0,10,197,18,17,16,21,9,0,10,280,0,0,0,0,0,0,0,0,0,0,0
101031015,16,3,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,51,3,4,3,5,5,0,4,75,3,0,0,0,0,0,0,0,3,0,0
101031016,8,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,12,3,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,8,4,0,0,0,0,0,0,0,3,16,0,3,3,4,5,0,0,34,47,12,12,11,26,22,6,6,157,8,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,3,19,11,0,0,3,4,0,0,0,16,8,0,0,0,0,0,0,3,13,8,0,0,0,3,0,0,0,12,12,3,0,0,0,9,0,3,31,12,3,0,0,0,0,0,3,21,25,0,9,0,12,4,8,4,74,8,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,3,13,196,27,38,30,54,47,21,31,450,0,0,0,0,0,0,0,0,0,0,0
