SA2_MAINCODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
101021007,9,6,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,8,0,3,0,0,3,0,3,0,0,8,0,10,0,0,10,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,18,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,54,0,3,88,53,21,0,3,80,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,19,3,0,0,26,6,0,0,0,7,8,3,0,0,16,6,5,0,0,12,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,18,3,0,0,26,8,0,0,3,10,4,0,0,0,4,10,0,0,0,10,4,0,0,0,11,12,3,0,0,14,6,4,0,0,18
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,29,23,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,17,0,0,0,0,0,7,0,0,0,3,3,0,0,0,4,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,6,0,0,0,11,0,0,0,0,0,5,0,0,0,5,24,3,0,0,27,0,0,0,0,0,4,0,0,0,3
101021009,0,0,0,0,0,0,0,0,0,0,6,12,0,0,14,0,0,0,0,0,21,57,7,0,79,3,3,0,0,12,3,18,3,0,24,0,15,3,0,23,3,4,0,0,10,3,0,0,0,5,0,3,0,0,3,0,15,4,0,17,4,17,3,0,31,8,6,0,0,12,0,0,0,0,0,5,0,0,0,5,8,22,0,0,28,0,3,0,0,4,6,12,0,3,21,3,6,0,0,10,76,189,20,5,292,4,0,0,0,4,0,0,0,0,0,7,4,0,0,13,0,0,0,0,0,25,15,0,0,41,0,0,0,0,0,9,11,0,0,15,3,9,0,0,16,11,3,0,0,16,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,5,0,0,32,11,0,0,0,12,0,0,0,0,0,12,3,0,0,10,27,3,0,0,27,0,8,0,0,10,27,11,0,0,38
101021010,0,0,0,0,0,0,0,0,0,0,8,52,3,3,60,0,4,0,0,4,13,53,7,0,79,0,3,0,0,6,4,11,0,0,15,0,9,0,0,8,3,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,4,0,0,4,4,3,0,0,8,3,5,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,27,0,0,30,3,11,0,0,14,45,186,21,0,260,0,0,0,0,0,0,0,0,0,0,14,3,0,0,15,0,3,0,0,3,20,3,0,0,24,5,0,0,0,6,3,5,0,0,9,3,0,0,0,3,7,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,11,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,6,0,0,15
101021011,13,5,0,0,18,3,0,0,0,3,3,10,0,0,14,0,3,0,0,4,37,61,0,0,98,0,4,0,0,3,6,16,0,0,25,0,5,0,0,5,6,10,0,0,14,3,0,0,0,9,5,4,0,0,10,0,8,0,0,12,31,30,4,0,66,9,8,0,3,21,3,3,0,0,6,5,0,0,0,8,3,3,0,0,8,4,0,0,0,9,6,8,0,0,14,11,13,0,3,21,148,198,7,13,369,62,17,0,4,77,0,0,0,0,0,11,3,0,0,11,0,0,0,0,0,61,30,0,0,92,3,0,0,0,7,15,7,0,0,16,0,9,0,0,9,8,0,0,0,12,7,0,0,0,8,3,0,0,0,3,3,3,0,0,3,29,7,0,0,37,20,3,0,0,19,6,0,0,0,7,14,0,0,0,15,16,4,0,0,20,13,0,0,0,19,14,6,0,0,23
101021012,0,0,0,0,0,0,0,0,0,0,8,32,3,0,42,0,0,0,0,4,18,56,23,0,97,0,3,0,0,3,4,5,0,0,7,0,3,4,0,9,16,4,5,0,23,3,3,0,0,4,5,7,0,0,8,0,8,0,0,7,13,16,4,0,38,3,0,3,0,8,5,4,0,0,9,3,3,0,0,10,3,0,0,0,3,0,0,0,0,3,5,9,0,0,20,0,15,0,0,20,93,179,37,0,308,0,0,0,0,0,0,0,0,0,0,12,5,0,0,22,0,0,0,0,0,26,18,3,0,43,0,0,0,0,4,6,4,0,0,10,0,3,0,0,7,4,5,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,34,0,0,0,30,17,0,0,0,16,0,0,0,0,0,12,3,0,0,12,16,0,0,0,19,3,0,0,0,3,19,7,0,0,24
101031013,8,10,0,0,15,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,11,0,0,12,0,0,0,0,3,3,6,0,0,14,0,3,0,0,3,7,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,3,0,73,48,38,0,0,87,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,10,3,0,0,0,3,3,5,0,0,7,0,8,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9
101031014,0,3,0,0,7,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,3,22,0,0,32,0,13,0,0,13,3,20,10,3,36,3,7,0,0,15,9,8,3,0,16,0,4,0,0,4,0,0,0,0,0,3,12,4,0,13,5,9,0,0,17,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,10,3,0,12,0,0,0,0,0,7,12,0,0,13,0,0,0,0,8,38,134,22,5,199,23,12,0,0,31,0,0,0,0,0,11,4,0,0,14,0,0,0,0,0,36,11,0,0,48,3,0,0,0,3,4,16,0,0,22,12,20,0,4,31,5,4,0,0,14,0,0,0,0,0,4,0,0,0,4,0,3,0,0,3,8,7,0,0,15,14,5,0,0,11,0,0,0,0,0,6,3,0,0,9,9,3,0,0,13,3,3,0,0,8,19,11,0,0,35
101031015,8,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,16,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,7,0,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,30,37,0,0,76,57,57,0,3,119,0,0,0,0,0,6,3,0,0,11,0,0,0,0,0,10,4,0,0,11,0,0,0,0,0,0,3,0,0,3,6,11,0,0,18,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,5,4,3,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,5
101031016,7,10,0,0,18,0,0,0,0,3,0,6,0,0,12,0,0,0,0,0,7,19,3,0,30,0,4,3,0,3,3,21,3,0,24,7,57,15,0,80,3,7,0,0,18,0,0,0,0,3,5,0,0,0,4,0,17,0,0,18,16,9,0,0,29,0,11,0,0,15,0,4,0,0,4,0,0,0,0,0,4,7,0,0,9,0,3,0,0,8,3,13,0,0,18,6,10,0,0,14,57,211,32,0,305,38,47,0,0,87,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,51,11,0,0,60,7,0,0,0,7,13,5,0,0,18,43,32,0,4,75,7,0,0,0,7,4,0,0,0,4,0,0,0,0,0,3,8,0,0,12,20,5,0,4,26,15,10,0,3,22,0,3,0,0,5,3,0,0,3,12,18,3,0,0,25,10,0,0,0,6,11,6,0,0,18
