SA2_MAINCODE_2016,Pro_400_499_H_0,Pro_400_499_H_1_15,Pro_400_499_H_16_24,Pro_400_499_H_25_34,Pro_400_499_H_35_39,Pro_400_499_H_40,Pro_400_499_H_41_48,Pro_400_499_H_49mo,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_15,Pro_500_649_H_16_24,Pro_500_649_H_25_34,Pro_500_649_H_35_39,Pro_500_649_H_40,Pro_500_649_H_41_48,Pro_500_649_H_49mo,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_15,Pro_650_799_H_16_24,Pro_650_799_H_25_34,Pro_650_799_H_35_39,Pro_650_799_H_40,Pro_650_799_H_41_48,Pro_650_799_H_49mo,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_15,Pro_800_999_H_16_24,Pro_800_999_H_25_34,Pro_800_999_H_35_39,Pro_800_999_H_40,Pro_800_999_H_41_48,Pro_800_999_H_49mo,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_15,Pro_1000_1249_H_16_24,Pro_1000_1249_H_25_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40,Pro_1000_1249_H_41_48,Pro_1000_1249_H_49mo,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_15,Pro_1250_1499_H_16_24,Pro_1250_1499_H_25_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40,Pro_1250_1499_H_41_48,Pro_1250_1499_H_49mo,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_15,Pro_1500_1749_H_16_24,Pro_1500_1749_H_25_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40,Pro_1500_1749_H_41_48,Pro_1500_1749_H_49mo,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_15,Pro_1750_1999_H_16_24,Pro_1750_1999_H_25_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40,Pro_1750_1999_H_41_48,Pro_1750_1999_H_49mo,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_15,Pro_2000_2999_H_16_24,Pro_2000_2999_H_25_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40,Pro_2000_2999_H_41_48,Pro_2000_2999_H_49mo,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000mo_H_0,Pro_3000mo_H_1_15,Pro_3000mo_H_16_24,Pro_3000mo_H_25_34,Pro_3000mo_H_35_39,Pro_3000mo_H_40,Pro_3000mo_H_41_48,Pro_3000mo_H_49mo,Pro_3000mo_H_NS,Pro_3000mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_15,Pro_PINS_H_16_24,Pro_PINS_H_25_34,Pro_PINS_H_35_39,Pro_PINS_H_40,Pro_PINS_H_41_48,Pro_PINS_H_49mo,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_15,Pro_Tot_H_16_24,Pro_Tot_H_25_34,Pro_Tot_H_35_39,Pro_Tot_H_40,Pro_Tot_H_41_48,Pro_Tot_H_49mo,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_15,TaTW_NNI_H_16_24,TaTW_NNI_H_25_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40,TaTW_NNI_H_41_48,TaTW_NNI_H_49mo,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_15,TaTW_1_149_H_16_24,TaTW_1_149_H_25_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40,TaTW_1_149_H_41_48,TaTW_1_149_H_49mo,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_15,TaTW_150_299_H_16_24,TaTW_150_299_H_25_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40,TaTW_150_299_H_41_48,TaTW_150_299_H_49mo,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_15,TaTW_300_399_H_16_24,TaTW_300_399_H_25_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40,TaTW_300_399_H_41_48,TaTW_300_399_H_49mo,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_15,TaTW_400_499_H_16_24,TaTW_400_499_H_25_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40,TaTW_400_499_H_41_48,TaTW_400_499_H_49mo,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_15,TaTW_500_649_H_16_24,TaTW_500_649_H_25_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40,TaTW_500_649_H_41_48,TaTW_500_649_H_49mo,TaTW_500_649_H_NS,TaTW_500_649_H_Tot,TaTW_650_799_H_0,TaTW_650_799_H_1_15,TaTW_650_799_H_16_24,TaTW_650_799_H_25_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40,TaTW_650_799_H_41_48,TaTW_650_799_H_49mo,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_15,TaTW_800_999_H_16_24,TaTW_800_999_H_25_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40,TaTW_800_999_H_41_48,TaTW_800_999_H_49mo,TaTW_800_999_H_NS,TaTW_800_999_H_Tot
101021007,0,3,0,3,0,0,0,0,0,5,0,3,4,0,0,3,0,0,0,13,0,0,3,0,0,0,0,0,0,11,0,3,4,5,0,0,3,0,0,20,0,3,0,0,5,10,4,0,0,27,0,3,0,0,0,3,0,6,0,19,0,0,0,3,0,3,3,3,0,15,3,0,0,4,0,0,3,4,0,20,0,3,3,0,0,3,3,5,0,20,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,6,29,20,21,13,27,25,23,3,168,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,3,3,0,0,0,3,3,0,0,14,3,0,7,5,0,3,0,0,0,17,0,5,0,7,4,0,3,0,0,12,0,0,0,0,0,4,0,0,0,11,0,0,3,0,4,0,3,4,0,14
101021008,0,4,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,8,0,0,3,0,3,3,0,0,0,16,0,0,0,3,3,0,0,3,0,8,0,0,4,0,3,3,3,5,0,22,3,0,0,5,15,5,3,3,0,42,0,0,0,8,3,4,3,4,0,31,3,0,0,4,7,9,14,7,0,52,0,0,0,0,8,8,3,9,0,27,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,9,13,19,27,51,40,28,36,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,3,0,3,5,0,4,0,0,17,0,0,3,0,3,3,0,3,0,16
101021009,0,6,3,0,0,0,0,3,0,19,0,8,13,12,0,0,0,3,0,34,4,10,18,6,14,6,6,3,3,61,5,8,18,24,19,10,9,4,0,91,4,0,18,20,36,17,15,16,0,127,7,4,8,26,37,33,17,16,0,151,7,3,11,26,41,41,13,23,0,168,7,0,0,11,33,51,19,17,0,139,7,0,7,7,47,43,18,27,0,150,0,0,0,7,8,14,7,18,0,58,0,0,0,0,3,4,0,0,0,7,42,61,97,152,224,229,102,131,6,1049,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,12,0,3,3,3,3,3,0,0,0,14,0,0,3,6,7,10,3,3,3,40,0,5,6,7,15,17,5,4,0,60,0,4,5,16,21,18,10,4,3,83,0,7,0,5,40,32,11,26,3,121
101021010,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,11,0,0,3,3,3,4,0,0,0,15,0,3,3,0,10,16,7,3,0,33,0,3,0,0,5,7,12,5,0,29,0,0,0,0,12,8,4,0,0,22,0,0,0,0,6,0,3,3,0,15,0,3,0,0,0,7,0,6,0,20,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,16,18,15,34,39,30,22,0,171,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,8,0,0,3,0,19,0,7,0,0,9,3,4,3,0,25,0,0,0,0,7,17,4,6,0,43,0,0,0,5,13,21,14,7,3,69,0,0,3,8,29,41,16,14,3,118
101021011,0,3,4,3,0,0,0,0,0,12,0,4,8,6,0,3,0,0,0,17,0,3,3,0,0,3,0,3,0,16,0,5,0,3,3,11,4,4,0,31,0,3,3,4,3,5,3,5,3,36,0,4,0,10,4,13,6,3,3,49,0,3,3,5,9,10,6,10,0,54,3,0,0,4,10,10,10,3,0,38,0,3,3,0,10,32,13,22,0,91,0,3,3,4,4,3,13,14,0,52,0,0,0,0,0,0,0,0,0,0,18,50,39,42,53,97,57,75,4,442,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,8,0,4,3,0,3,0,0,21,0,5,0,0,3,0,3,0,0,19,0,0,0,3,3,5,5,0,0,21,0,5,7,5,0,12,6,3,0,38,0,0,4,5,9,6,5,3,0,36,0,0,3,7,11,17,5,9,3,54
101021012,0,6,0,0,0,0,0,0,0,12,0,4,0,3,0,5,0,0,0,13,0,3,4,0,0,0,0,0,0,8,0,3,4,3,3,3,4,3,0,16,0,4,8,3,4,7,3,4,0,39,0,0,3,4,7,11,0,8,0,33,0,0,0,4,3,13,9,10,0,31,0,0,0,6,4,3,0,9,0,28,4,3,0,0,3,8,0,11,0,29,0,3,0,5,0,3,3,11,0,26,0,0,0,0,0,0,0,0,0,0,7,41,23,25,24,50,25,48,5,259,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,6,0,0,5,4,7,6,0,0,0,32,0,0,3,8,8,17,3,11,0,42,0,0,4,8,12,16,4,8,0,50,0,0,0,4,24,25,9,17,0,84
101031013,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,10,0,0,4,0,3,4,4,0,0,14,0,0,3,4,4,3,3,0,0,16,0,0,3,0,3,3,0,0,0,23,3,0,0,0,0,3,5,0,0,15,0,0,0,3,3,3,4,11,0,16,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,8,17,15,18,19,13,18,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,3,3,0,0,10,0,0,0,6,0,4,3,3,0,12,4,0,0,0,8,3,0,3,0,20
101031014,0,4,3,0,4,5,0,4,0,24,0,13,11,6,3,0,0,3,0,40,3,0,10,13,6,4,5,0,0,44,7,4,4,13,18,5,4,7,0,59,3,7,7,13,21,10,4,10,3,79,0,0,11,11,29,25,14,13,0,97,3,3,0,12,18,18,6,17,3,88,4,3,3,9,14,20,10,23,0,90,6,3,0,0,21,13,19,21,0,78,0,0,0,4,0,12,3,7,0,29,0,0,0,3,0,0,0,3,0,9,31,49,58,94,148,112,67,107,5,660,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,13,0,3,0,0,4,0,0,3,0,13,0,3,4,3,7,9,0,6,0,34,0,3,9,4,9,7,4,10,3,57,0,0,3,8,18,15,8,6,0,52,3,0,3,4,13,20,13,19,0,73
101031015,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,8,8,0,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,8,0,0,0,0,3,3,0,3,0,17
101031016,0,3,3,3,0,0,0,3,0,14,0,8,7,3,4,4,5,4,0,30,0,7,3,10,0,3,0,0,0,32,0,3,6,7,10,3,8,5,0,42,0,3,10,6,13,8,8,11,0,65,0,0,8,5,13,13,7,13,0,55,0,3,0,4,7,10,7,9,0,37,3,0,0,0,5,13,9,15,0,53,3,0,0,3,3,6,6,12,0,40,0,0,3,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,3,6,14,33,46,41,58,65,46,83,7,393,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,5,0,7,3,0,0,8,0,5,0,29,0,0,0,8,4,3,0,6,3,28,0,5,4,4,14,6,7,14,0,62,0,0,5,18,31,19,20,13,5,101,3,0,0,4,16,22,26,33,0,114
