SA4_CODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,7
699,45,80,3,3,139,33,14,0,0,43,112,94,0,0,208,3,0,0,0,9,11,12,0,0,24,7,5,0,0,13,43,35,0,0,82,49,38,0,3,92,3,3,0,0,7,311,280,7,8,613,243,73,0,5,324,147,17,0,0,170,1104,172,0,15,1296,91,4,0,3,96,41,4,0,0,46,33,0,0,0,33,177,19,0,5,205,516,70,0,19,607,43,3,0,0,46,2396,362,3,56,2817,290,150,4,11,458,184,29,0,0,219,1215,263,0,19,1504,90,6,0,3,104,50,16,0,0,63,43,5,0,0,46,221,56,0,7,286,566,106,0,26,693,45,12,0,0,55,2709,645,14,64,3429
701,168,769,190,6,1138,193,291,41,3,526,177,378,15,5,572,26,32,7,0,65,96,263,27,0,389,46,107,11,7,170,49,47,8,0,104,54,71,13,0,136,28,23,5,3,62,843,1980,310,28,3159,251,209,11,12,484,515,91,16,8,624,620,179,4,12,823,229,36,7,4,270,149,46,4,0,198,97,26,0,4,133,108,23,3,3,138,224,56,0,3,287,47,13,0,3,66,2241,678,42,55,3025,420,976,202,22,1620,709,382,55,12,1151,801,560,17,15,1392,254,66,14,4,336,243,310,30,3,589,146,131,13,10,301,159,68,8,3,244,282,127,18,3,421,77,43,8,6,130,3085,2664,361,80,6181
702,65,351,65,4,485,50,83,3,3,144,73,132,4,3,212,10,25,3,0,47,20,131,6,3,158,7,46,0,4,61,20,22,0,0,38,31,43,3,3,79,0,15,0,3,19,290,841,94,24,1242,108,97,3,13,226,164,19,0,3,190,218,52,0,13,281,104,25,0,0,133,45,16,0,0,61,24,7,0,0,30,51,9,0,0,65,114,40,3,8,161,12,11,3,0,29,848,263,14,40,1171,180,448,69,20,709,220,103,7,7,338,287,180,7,18,496,117,51,10,0,177,64,146,6,3,222,30,48,0,4,87,76,26,0,0,102,143,82,11,8,245,14,26,4,0,43,1135,1105,106,59,2415
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,6
799,29,35,0,0,69,15,9,0,0,26,64,60,0,7,124,4,4,3,0,10,13,5,0,0,20,4,0,0,0,8,12,7,0,0,18,17,19,0,4,41,8,12,0,0,19,171,144,4,9,331,26,11,0,5,38,64,0,0,0,69,250,49,0,3,307,37,0,0,0,40,22,0,0,0,22,14,4,0,0,21,42,8,0,0,55,152,15,0,5,169,9,3,0,0,13,627,98,0,13,736,55,48,0,4,105,83,9,0,4,97,312,105,0,9,431,39,0,3,0,46,35,5,0,0,46,17,3,0,0,25,61,10,0,0,72,170,37,0,5,212,17,11,0,0,28,795,240,4,25,1065
801,551,1839,450,27,2867,1168,1484,235,15,2899,494,762,47,6,1306,106,131,20,0,260,261,496,59,8,820,125,208,43,7,385,119,57,11,4,197,110,129,25,0,266,94,79,8,4,184,3021,5196,903,80,9197,371,370,43,6,788,2322,370,114,15,2828,1333,407,6,19,1767,669,91,6,3,762,275,92,9,9,383,179,63,6,0,248,240,40,0,4,286,400,97,4,3,503,118,24,7,5,156,5910,1547,194,63,7719,922,2210,493,34,3653,3491,1856,354,25,5729,1826,1169,51,25,3077,774,220,28,3,1026,533,584,66,13,1200,303,275,47,14,630,359,99,14,8,477,507,230,25,3,772,209,98,16,10,340,8927,6741,1099,141,16908
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,71,72,4,4,154,55,21,0,0,79,227,162,0,3,387,14,0,0,0,17,11,10,0,0,19,10,4,0,0,13,21,9,0,0,29,43,31,3,0,85,8,5,0,0,17,461,321,14,6,805,55,18,0,0,71,167,14,3,0,189,622,90,0,9,717,64,7,0,0,75,23,3,0,0,25,24,0,0,0,23,101,6,0,0,108,274,31,0,0,306,27,0,0,0,29,1350,171,4,11,1534,127,89,6,4,225,226,40,3,0,268,847,252,0,8,1107,82,5,0,0,87,30,15,0,0,42,30,5,0,0,37,117,18,0,0,135,318,67,3,0,386,37,8,0,0,45,1812,494,17,17,2336
901,4,35,5,3,43,7,3,0,0,9,5,7,0,3,12,3,3,0,0,3,0,6,0,0,8,0,6,0,0,7,0,0,0,0,0,3,3,0,0,5,3,0,0,0,3,26,60,7,3,93,33,36,0,0,76,17,7,0,0,28,40,28,0,4,76,9,6,0,0,21,3,0,0,0,10,15,3,0,0,15,5,3,0,0,11,26,8,0,0,36,6,4,0,0,4,159,96,0,9,272,41,73,4,3,119,25,16,0,0,39,49,36,0,4,83,19,11,0,0,26,3,6,0,0,14,15,4,0,0,23,5,3,0,0,11,29,12,0,0,40,8,4,0,0,10,187,162,5,13,366
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,5,0,0,3,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,11,0,4,0,0,8,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,22
